epoch,timestamp,accuracy,f1_score,train_accuracy,test_accuracy,train_f1,test_f1,train_loss,test_loss,learning_rate
0,2024-12-30T11:26:25.409932,0.89773940040749,0.925556560063284,0.8370218009294744,0.89773940040749,0.8720269384894334,0.925556560063284,0.7485534594484913,0.2149115651845932,5.0490017190417315e-05
1,2024-12-30T11:27:36.307764,0.9052876685747551,0.9296310713204446,0.8787559790043563,0.9052876685747551,0.9060819570486444,0.9296310713204446,0.29648938947095926,0.1693294644355774,8.150156684227244e-05
2,2024-12-30T11:28:47.167377,0.8999126807024352,0.9268098873343361,0.8864595562196199,0.8999126807024352,0.9119069574872499,0.9268098873343361,0.23976207022913057,0.1649947315454483,0.0001316791835849427
3,2024-12-30T11:29:58.231602,0.9120791694964587,0.9336438059253401,0.891092375010915,0.9120791694964587,0.9155583305750309,0.9336438059253401,0.21935381278667734,0.16032104194164276,0.0001988296838259081
4,2024-12-30T11:31:08.646938,0.9140001940428835,0.9304238618524333,0.8962200079558355,0.9140001940428835,0.9195180033933885,0.9304238618524333,0.204462713518581,0.1618945598602295,0.0002800180263073652
5,2024-12-30T11:32:19.770037,0.9022800038808577,0.9188344131773201,0.8994896622650845,0.9022800038808577,0.9219673316586132,0.9188344131773201,0.19351045867455363,0.17207400500774384,0.00037169559807809737
6,2024-12-30T11:33:30.870667,0.9206752692345008,0.9356179916845155,0.904850148929358,0.9206752692345008,0.9261632284294534,0.9356179916845155,0.18375205345355258,0.1598653644323349,0.0004698553187053934
7,2024-12-30T11:34:41.941810,0.9214126321917143,0.9364705882352942,0.9075473711785309,0.9214126321917143,0.9281128588133227,0.9364705882352942,0.17710280285998414,0.15708491206169128,0.0005702067833693078
8,2024-12-30T11:35:52.943374,0.9236829339283982,0.9403449165010845,0.9106957475089503,0.9236829339283982,0.9305166055838847,0.9403449165010845,0.17052353010682758,0.147443488240242,0.0006683637896139738
9,2024-12-30T11:37:04.003456,0.9268846415057728,0.9423729850426696,0.9132280317069148,0.9268846415057728,0.9323479464593017,0.9423729850426696,0.16463131229218253,0.14597538113594055,0.0007600360512607815
10,2024-12-30T11:38:15.002517,0.928417580285243,0.9430261471219633,0.9164152169905597,0.928417580285243,0.9347575844781364,0.9430261471219633,0.15950816703739973,0.14365293085575104,0.0008412167199740661
11,2024-12-30T11:39:26.163646,0.9280877073833317,0.9429038023048006,0.9166723263056787,0.9280877073833317,0.9349363454203172,0.9429038023048006,0.15725830588549045,0.14288164675235748,0.0009083575182107783
12,2024-12-30T11:40:37.294059,0.929193751819152,0.9442210978461915,0.9192046105036432,0.929193751819152,0.9368260145578959,0.9442210978461915,0.15356969756180652,0.14162880182266235,0.000958523828772245
13,2024-12-30T11:41:48.206297,0.9290385175123702,0.9447290863749717,0.9205774772239955,0.9290385175123702,0.9378492468415938,0.9447290863749717,0.1507293017973903,0.1397639364004135,0.000989522962241093
14,2024-12-30T11:42:59.368489,0.9259144270883866,0.9428819340554127,0.9222123043786201,0.9259144270883866,0.9390913269240265,0.9428819340554127,0.1483351289096165,0.14105479419231415,0.0009999999992229478
15,2024-12-30T11:44:10.558988,0.93074609488697,0.9460183014444529,0.9231776770901047,0.93074609488697,0.9398730332300589,0.9460183014444529,0.14710706951604385,0.13744322955608368,0.0009979846555256157
16,2024-12-30T11:45:21.668952,0.9330552052003492,0.9474437877033697,0.9261465620118562,0.9330552052003492,0.9422199618949302,0.9474437877033697,0.1442542491763777,0.1371442824602127,0.000991959848295051
17,2024-12-30T11:46:32.873360,0.9296400504511497,0.943716627343847,0.9261465620118562,0.9296400504511497,0.9422063624629868,0.943716627343847,0.1432948237680165,0.1364426165819168,0.0009819740857365449
18,2024-12-30T11:47:44.017032,0.9249442126710002,0.9432478431832854,0.9283829279414761,0.9249442126710002,0.9439459925352449,0.9432478431832854,0.14086691445643698,0.13837045431137085,0.0009681077673386851
