epoch,timestamp,accuracy,f1_score,train_accuracy,test_accuracy,train_f1,test_f1,train_loss,test_loss,learning_rate
0,2024-12-30T12:02:38.316444,0.8961482487629766,0.9236911144062964,0.7996148211392369,0.8961482487629766,0.8372452216123784,0.9236911144062964,0.3995524156631631,0.22296611964702606,5.0490017190417315e-05
1,2024-12-30T12:03:20.568478,0.9025516639177258,0.9283676613225309,0.8878809341315042,0.9025516639177258,0.9135172351858227,0.9283676613225309,0.23171359269097055,0.18860360980033875,8.150156684227244e-05
2,2024-12-30T12:04:02.829572,0.9020277481323372,0.9281720797234433,0.8950314837633042,0.9020277481323372,0.9191755442334414,0.9281720797234433,0.20337974349859708,0.18173301219940186,0.0001316791835849427
3,2024-12-30T12:04:45.032165,0.9134762782574949,0.9347250076854386,0.8989657413965402,0.9134762782574949,0.9220467637074106,0.9347250076854386,0.190416970056907,0.16774912178516388,0.0001988296838259081
4,2024-12-30T12:05:27.212081,0.899291743475308,0.9266907734900277,0.9043650370140391,0.899291743475308,0.9259651494667267,0.9266907734900277,0.18024968134672448,0.16899323463439941,0.0002800180263073652
5,2024-12-30T12:06:08.956748,0.912273212379936,0.9343936381709742,0.9098322482996828,0.912273212379936,0.9300580623069137,0.9343936381709742,0.17194059427575467,0.16034607589244843,0.00037169559807809737
6,2024-12-30T12:06:50.370840,0.9202483748908509,0.9389736888994477,0.9125779817403875,0.9202483748908509,0.9319780016532732,0.9389736888994477,0.16635430741257728,0.1544819325208664,0.0004698553187053934
7,2024-12-30T12:07:31.787358,0.9250412341127389,0.9415237432070359,0.9161629587945939,0.9250412341127389,0.9345225014965636,0.9415237432070359,0.1605318878865224,0.15058745443820953,0.0005702067833693078
8,2024-12-30T12:08:13.227679,0.9186572232463375,0.9384344250257013,0.9181131086941757,0.9186572232463375,0.9360557618001364,0.9384344250257013,0.15819647748894164,0.15494592487812042,0.0006683637896139738
9,2024-12-30T12:08:54.638723,0.9274861744445523,0.9422990812939087,0.9187922653756222,0.9274861744445523,0.9365168454105547,0.9422990812939087,0.15660328445166757,0.15200549364089966,0.0007600360512607815
10,2024-12-30T12:09:35.931506,0.9088968662074318,0.9326814160560917,0.9195296354869068,0.9088968662074318,0.9370374025461364,0.9326814160560917,0.15523372308282574,0.1568564772605896,0.0008412167199740661
11,2024-12-30T12:10:17.416067,0.9193751819152033,0.9392712550607287,0.9210625891393145,0.9193751819152033,0.938281813009672,0.9392712550607287,0.15285061671498623,0.14932221174240112,0.0009083575182107783
12,2024-12-30T12:10:58.624040,0.9187348403997283,0.9386966450026348,0.9216059144844716,0.9187348403997283,0.9387289285903863,0.9386966450026348,0.1518284563801822,0.14786426723003387,0.000958523828772245
13,2024-12-30T12:11:33.978282,0.9273891530028137,0.9444576381879712,0.9232310394007898,0.9273891530028137,0.9399524172709369,0.9444576381879712,0.15046537101180002,0.14268654584884644,0.000989522962241093
14,2024-12-30T12:12:15.438198,0.930396817696711,0.9447448280111527,0.9238422804140916,0.930396817696711,0.9404341375869356,0.9447448280111527,0.14893164113959084,0.14827124774456024,0.0009999999992229478
15,2024-12-30T12:12:57.038087,0.9210439507131076,0.9400709898817327,0.9259137082925031,0.9210439507131076,0.9420109356014581,0.9400709898817327,0.14810335052898516,0.15252672135829926,0.0009979846555256157
16,2024-12-30T12:13:38.500215,0.9327447365867857,0.9474912131862805,0.926117455296937,0.9327447365867857,0.9421374567835569,0.9474912131862805,0.14568798083598614,0.144960418343544,0.000991959848295051
17,2024-12-30T12:14:19.952613,0.9333462695255651,0.9479837061041537,0.9268499742890685,0.9333462695255651,0.9426372631442799,0.9479837061041537,0.14515067978572124,0.14336486160755157,0.0009819740857365449
18,2024-12-30T12:15:01.399980,0.9252740855729116,0.9434715596330275,0.9269178899572131,0.9252740855729116,0.9427253821792868,0.9434715596330275,0.14508865102495244,0.14068889617919922,0.0009681077673386851
19,2024-12-30T12:15:42.850144,0.9311923935189677,0.94616996083432,0.9283974812989356,0.9311923935189677,0.9438770466246378,0.94616996083432,0.1434620294339859,0.1413925290107727,0.0009504725365439482
20,2024-12-30T12:16:24.012078,0.9349762297467741,0.9483261114280868,0.9288292309035695,0.9349762297467741,0.9442118512265332,0.9483261114280868,0.14227121455423003,0.13661381602287292,0.0009292103818613456
21,2024-12-30T12:17:05.773379,0.9291549432424566,0.9439127429142024,0.9296781767553775,0.9291549432424566,0.9448372439932112,0.9439127429142024,0.14187829649262074,0.1528042107820511,0.0009044924936584371
22,2024-12-30T12:17:47.930108,0.933773163869215,0.9480003047154719,0.929561749895701,0.933773163869215,0.9447387650712459,0.9480003047154719,0.14081271220143457,0.13543939590454102,0.0008765178858371496
23,2024-12-30T12:18:30.114452,0.9332104395071311,0.9480578275435366,0.9301196285983176,0.9332104395071311,0.9451637094533121,0.9480578275435366,0.1401757311360151,0.13874295353889465,0.0008455117934908571
24,2024-12-30T12:19:12.310373,0.9354225283787717,0.9489711429359993,0.9304543558198877,0.9354225283787717,0.9454207656930527,0.9489711429359993,0.1396947325077469,0.13894909620285034,0.0008117238594438448
25,2024-12-30T12:19:54.488414,0.9266323857572524,0.9415655668031837,0.9304155468666622,0.9266323857572524,0.9453591046572755,0.9415655668031837,0.13905916830364473,0.17156456410884857,0.0007754261242740759
26,2024-12-30T12:20:35.455934,0.9349956340351218,0.9487563863309573,0.9310461923565767,0.9349956340351218,0.9458382234144705,0.9487563863309573,0.13821121099713216,0.1399325281381607,0.0007369108360024147
27,2024-12-30T12:21:16.545755,0.9350926554768604,0.9492173860237745,0.9314876441995168,0.9350926554768604,0.9462232934662996,0.9492173860237745,0.13795185846255473,0.1356346756219864,0.0006964880970834016
28,2024-12-30T12:21:59.019544,0.9343941010963422,0.9481831139174547,0.9320309695446739,0.9343941010963422,0.9466241518950693,0.9481831139174547,0.13706959723202916,0.13754050433635712,0.0006544833676426274
29,2024-12-30T12:22:41.968745,0.9342776753662559,0.9492394155114275,0.9321522475235037,0.9342776753662559,0.9467528610914407,0.9492394155114275,0.1363345241128996,0.13694451749324799,0.0006112348450631677
30,2024-12-30T12:23:24.382645,0.9362181042010285,0.9504514689699874,0.931545857629355,0.9362181042010285,0.946255070366209,0.9504514689699874,0.1364000717957077,0.1356627345085144,0.0005670907410191133
31,2024-12-30T12:24:06.523232,0.9362569127777238,0.9504517413535649,0.9327634885368055,0.9362569127777238,0.9472056313993175,0.9504517413535649,0.1353152167728331,0.13388711214065552,0.0005224064778799137
32,2024-12-30T12:24:48.641394,0.9360434656058989,0.9496578690127078,0.9328702131581756,0.9360434656058989,0.9473038842345773,0.9496578690127078,0.13490203658040198,0.1384935826063156,0.00047754182705844495
33,2024-12-30T12:25:30.733365,0.9364897642378965,0.9503104647102583,0.9331467269499073,0.9364897642378965,0.9475187460251572,0.9503104647102583,0.13439037271358797,0.13305912911891937,0.00043285801234313367
34,2024-12-30T12:26:12.870957,0.9365867856796352,0.9503267973856209,0.9334960075289369,0.9365867856796352,0.9477511538652102,0.9503267973856209,0.1333818504841368,0.13360916078090668,0.0003887148015364099
35,2024-12-30T12:26:55.011495,0.9343552925196469,0.9476307682781467,0.9337434146057495,0.9343552925196469,0.9479944864560249,0.9476307682781467,0.1334586552716459,0.13882970809936523,0.00034546760981590217
36,2024-12-30T12:27:37.151662,0.9365479771029398,0.9500244528670987,0.9338452881079665,0.9365479771029398,0.9480120925161354,0.9500244528670987,0.13292122445321095,0.13350513577461243,0.00030346463814040665
