epoch,timestamp,accuracy,f1_score,train_accuracy,test_accuracy,train_f1,test_f1,train_loss,test_loss,learning_rate
0,2024-12-30T10:54:23.126812,0.8954302900941108,0.9236804463893727,0.8474565582279832,0.8954302900941108,0.8841604255616995,0.9236804463893727,0.3114437207484775,0.19976744055747986,5.0490017190417315e-05
1,2024-12-30T10:55:29.328988,0.9029009411079849,0.927908718953495,0.8936925748770241,0.9029009411079849,0.9210414429735748,0.927908718953495,0.2054031981497619,0.17797990143299103,8.150156684227244e-05
2,2024-12-30T10:56:35.287928,0.9107790821771612,0.9317702923282386,0.9003580125935053,0.9107790821771612,0.9246564790292644,0.9317702923282386,0.18592344302376423,0.1714257001876831,0.0001316791835849427
3,2024-12-30T10:57:40.552614,0.9115164451343747,0.9297921478060046,0.9050587470529451,0.9115164451343747,0.9273730577831545,0.9297921478060046,0.17410137186775856,0.16631300747394562,0.0001988296838259081
4,2024-12-30T10:58:46.633244,0.9149898127486175,0.9329825151825734,0.9077317137063521,0.9149898127486175,0.929215791354055,0.9329825151825734,0.1686704166737223,0.1603076457977295,0.0002800180263073652
5,2024-12-30T10:59:52.845259,0.9194916076452896,0.9369673214529876,0.9114767776926137,0.9194916076452896,0.9316999408625091,0.9369673214529876,0.1637516264629934,0.1560431271791458,0.00037169559807809737
6,2024-12-30T11:00:59.177845,0.9255651498981274,0.9410462900350403,0.9165850061609213,0.9255651498981274,0.9352614953672155,0.9410462900350403,0.15906373585559294,0.15078772604465485,0.0004698553187053934
7,2024-12-30T11:02:04.796438,0.927854855923159,0.9431220168889977,0.9196606157040429,0.927854855923159,0.9373948610937849,0.9431220168889977,0.15522320450519814,0.1486448049545288,0.0005702067833693078
8,2024-12-30T11:03:11.027352,0.9287280488988067,0.943806128849655,0.9223238801191435,0.9287280488988067,0.9392476912453237,0.943806128849655,0.15226491388714244,0.14272114634513855,0.0006683637896139738
9,2024-12-30T11:04:17.370950,0.9320267779179199,0.9468428959468277,0.9244341169507806,0.9320267779179199,0.9409373732164997,0.9468428959468277,0.14986106070554106,0.142107754945755,0.0007600360512607815
10,2024-12-30T11:05:23.712843,0.9332298437954788,0.9472166403337884,0.9257536213604478,0.9332298437954788,0.941896442414648,0.9472166403337884,0.1486764576530257,0.14165917038917542,0.0008412167199740661
11,2024-12-30T11:06:30.082569,0.9315610749975745,0.9464949407606305,0.9267917608592302,0.9315610749975745,0.9427123469678277,0.9464949407606305,0.14746373612556557,0.13898800313472748,0.0009083575182107783
12,2024-12-30T11:07:36.257133,0.932511885126613,0.9461759881147668,0.9263600112545964,0.932511885126613,0.9424144942490364,0.9461759881147668,0.14728271564236273,0.14228063821792603,0.000958523828772245
13,2024-12-30T11:08:42.318555,0.9325506937033085,0.9477685950413223,0.928353821226557,0.9325506937033085,0.9439053200499835,0.9477685950413223,0.14578354115382783,0.14569468796253204,0.000989522962241093
14,2024-12-30T11:09:48.521286,0.9334626952556515,0.9481075682138047,0.9289505088823992,0.9334626952556515,0.9443646723646724,0.9481075682138047,0.1444760191686258,0.14009708166122437,0.0009999999992229478
15,2024-12-30T11:10:55.230299,0.9328999708935675,0.9475090318467471,0.9290523823846162,0.9328999708935675,0.9443406315292721,0.9475090318467471,0.14387633129125948,0.13650266826152802,0.0009979846555256157
16,2024-12-30T11:12:02.061915,0.9324924808382653,0.9461146477084398,0.9293288961763478,0.9324924808382653,0.9446016245322625,0.9461146477084398,0.14379687720057796,0.13816550374031067,0.000991959848295051
17,2024-12-30T11:13:08.251399,0.9342388667895605,0.9478687566336969,0.9300274573344071,0.9342388667895605,0.945194653211037,0.9478687566336969,0.1429264808926027,0.13735218346118927,0.0009819740857365449
18,2024-12-30T11:14:14.510224,0.9340254196177356,0.9473961073119411,0.9299352860704965,0.9340254196177356,0.9450445754205462,0.9473961073119411,0.14207419262493035,0.13631387054920197,0.0009681077673386851
19,2024-12-30T11:15:20.588675,0.9342776753662559,0.9485360035251394,0.9304446535815812,0.9342776753662559,0.9454671311861983,0.9485360035251394,0.14174365517653328,0.1374727338552475,0.0009504725365439482
20,2024-12-30T11:16:26.833272,0.9333656738139129,0.9465940902021773,0.9311189591438745,0.9333656738139129,0.9459091896092616,0.9465940902021773,0.14050573224574212,0.13696712255477905,0.0009292103818613456
21,2024-12-30T11:17:32.737161,0.9350926554768604,0.9491231539081632,0.9313324083866148,0.9350926554768604,0.9460829686172786,0.9491231539081632,0.14021149946137274,0.13193385303020477,0.0009044924936584371
22,2024-12-30T11:18:38.228993,0.9357718055690307,0.9492549211994848,0.9309297654969001,0.9357718055690307,0.9457884997601261,0.9492549211994848,0.13932220648294122,0.1345609873533249,0.0008765178858371496
23,2024-12-30T11:19:44.002389,0.9364897642378965,0.9499135384944986,0.9318708826126187,0.9364897642378965,0.9465035311326289,0.9499135384944986,0.1395533280723978,0.13293389976024628,0.0008455117934908571
24,2024-12-30T11:20:49.805232,0.9357912098573785,0.9490005086078017,0.9322929299789462,0.9357912098573785,0.9468294634183508,0.9490005086078017,0.13824180090123048,0.13671055436134338,0.0008117238594438448
25,2024-12-30T11:21:55.595309,0.9365091685262443,0.9497048696507624,0.9323656967662439,0.9365091685262443,0.9468390147182185,0.9497048696507624,0.13769149317695115,0.13225382566452026,0.0007754261242740759
26,2024-12-30T11:23:02.164077,0.935538954108858,0.9491940170678739,0.9325694437706779,0.935538954108858,0.9469870327993898,0.9491940170678739,0.13748564039708602,0.13412073254585266,0.0007369108360024147
27,2024-12-30T11:24:08.660715,0.9357718055690307,0.949351205777941,0.9328508086815628,0.9357718055690307,0.9472191081928207,0.949351205777941,0.13673068376809044,0.13856743276119232,0.0006964880970834016
28,2024-12-30T11:25:14.340218,0.9364315513728534,0.9495021117859235,0.9334135385033328,0.9364315513728534,0.9476522455455211,0.9495021117859235,0.13597715387739026,0.13535159826278687,0.0006544833676426274
